file_name,turn_name,start_time,end_time,text,emotion
Ses01F_impro01,F000,6.2901,8.2357,Excuse me,"polite,attitude"
Ses01F_impro01,M000,7.5712,10.475,Do you have your forms?,"Frustration,Neutral"
Ses01F_impro01,F001,10.01,11.3925,Yeah,"guarded, tense"
Ses01F_impro01,M001,10.9266,14.6649,Let me see them.,bored
Ses01F_impro01,F002,14.8872,18.0175,Is there a problem,superior
Ses01F_impro01,M002,16.8352,19.7175,Who told you to get in this line?,"attitude, rude, accusing, annoyed, irritated"
Ses01F_impro01,F003,19.29,20.7875,You did,accusing
Ses01F_impro01,F004,21.3257,24.74,You were standing at the beginning and you directed me,defensive
Ses01F_impro01,M003,23.47,28.03,Okay. But I didn't tell you to get in this line if you are filling out this particular form,"accusing, angry, superior"
Ses01F_impro01,F005,27.46,31.49,Well what's the problem?  Let me change it,Frustration
Ses01F_impro01,M004,28.395,31.2117,This form is a Z.X.four.,Frustration; Anger
Ses01F_impro01,M005,31.266,39.3875,"You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID.",Frustration; Disgust; Anger
Ses01F_impro01,F006,38.965,43.59,What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen,irritation
Ses01F_impro01,M006,41.23,46.98,No. I need another set of ID to prove this is actually you,"condescending, frustrated, impatient"
Ses01F_impro01,F007,46.58,52.19,How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?,Anger
Ses01F_impro01,M007,51.4,57.64,I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID.,"defensive, arrogant"
Ses01F_impro01,F008,56.16,58.8225,I'm here to get an ID,angry
Ses01F_impro01,M008,58.18,62.59,"No.  I need another ID, a separate one","condescending, impatient, frustrated"
Ses01F_impro01,F009,61.87,65.97,Like what?  Like a birth certificate?,Surprise
Ses01F_impro01,M009,65.51,73,"A birth certificate, a passport...a student ID; didn't you go to school?  Anything?","accusing, provoking, belligerent, skeptical"
Ses01F_impro01,F010,66.42,69.34,Who the hell has a birth certificate?,"angry, frustrated"
Ses01F_impro01,F011,72.45,82.26,"Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here?",Surprise; Anger
Ses01F_impro01,M010,81.59,86.03,"Yeah.  We keep it on file, but we need an ID to access that file.","angry, frustrated, impatient"
Ses01F_impro01,F012,85.27,88.02,That's out of control,Frustration; Anger
Ses01F_impro01,M011,87.15,94.39,I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.,"frustrated, angry, irritated"
Ses01F_impro01,F013,93.67,97.0218,How long have you been working here?,Frustration
Ses01F_impro01,M012,95.86,98.68,Actually too long,calm
Ses01F_impro01,F014,97.89,102.96,"Clearly.  You know, do you have like a supervisor or something?",Neutral
Ses01F_impro01,M013,101.84,107.87,Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.,"offended, outraged, frustrated,"
Ses01F_impro01,F015,103.97,106.71,That would - I would appreciate that.  Yeah.,"Frustration,tensed"
Ses01F_impro02,F000,7.2688,16.6,Did you get the mail? So you saw my letter?,Sadness
Ses01F_impro02,M000,17.6,20.6264,It's not fair,Frustration; Sadness
Ses01F_impro02,F001,19.85,22.78,Yeah.  I know,Sadness
Ses01F_impro02,M001,21.76,27.5558,"I don't understand.  You've already done so much, I don't know why do you have to go back.",Sadness
Ses01F_impro02,F002,26.5659,32.2895,I don't know.  I put in that. request too. They didn't...,Sadness
Ses01F_impro02,F003,32.3075,37.96,"I guess, you know, everybody has to make sacrifices.",Neutral
Ses01F_impro02,M002,38.85,45.09,"I don't know, it's just not fair.  I think you've already made your sacrifice.",Frustration; Sadness
Ses01F_impro02,F004,47.34,53.11,"There's people that have given more though, you know?",Neutral
Ses01F_impro02,M003,52.71,59.0534,I just don't see how they can make you leave when you have a new baby - we have a new kid.,Frustration
Ses01F_impro02,F005,58.75,61.31,I know,Neutral
Ses01F_impro02,M004,61.75,65.055,Then why is that fair?  Why,Frustration; Sadness
Ses01F_impro02,F006,64.255,68.47,"There's babies over there, though, that need mothers.",Neutral
Ses01F_impro02,M005,69.34,74.29,I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it,Sadness
Ses01F_impro02,F007,72.39,78.57,"I'm not okay with it, but I don't-- it's not like I have a choice.  I don't see what crying about it is going to fix.",Frustration; Sadness;
Ses01F_impro02,M006,80.03,86.99,I'm just trying to think of another way.  I'm just trying to..,Frustration; Sadness
Ses01F_impro02,F008,87.2031,91.09,"Just, you know, kicking myself.",Frustration; Sadness; Anger
Ses01F_impro02,F009,91.55,95.88,like you sign up because you need money and,Other
Ses01F_impro02,F010,97.94,102.19,things just aren't what they seem.,Sadness
Ses01F_impro02,M007,103.27,107.1,This is a stupid war,Frustration; Disgust; Anger
Ses01F_impro02,F011,107,111.0153,"We're doing the right thing, though",tense
Ses01F_impro02,M008,110.5653,113.2,I know.,Frustration
Ses01F_impro02,M009,114.1775,117.85,I just don't see why it has to be you,Sadness
Ses01F_impro02,F012,117.83,120.8605,"If not me then, who?",Sadness
Ses01F_impro02,M010,120.4105,124.63,What am I going to do? Huh?,Sadness
Ses01F_impro02,F013,127.82,133.9455,"You'll videotape everything, yeah?",Sadness
Ses01F_impro02,M011,133.88,137.1,Yeah,Sadness
Ses01F_impro02,F014,139.03,146.43,"Maybe you can send it to me, like stream it, yeah?",Sadness
Ses01F_impro02,M012,147.03,151.7101,Don't you guys have access to computers over there.,Neutral
Ses01F_impro02,F015,151.4221,155.01,Last month--  Yeah.,Sadness
Ses01F_impro02,M013,157.98,162.71,I just don't know how I'm going to do it without you.,Sadness; Fear
Ses01F_impro02,F016,163.54,165.73,I have to find sitters.,Neutral
Ses01F_impro02,M014,164.885,169.5,I can't raise a baby by myself.  How?,Sadness
Ses01F_impro02,F017,169.36,176.015,"We've got friends, that's why we moved here, huh?  Because there is a day care down the street.",Sadness
Ses01F_impro02,M015,175.47,176.72,I know.,Neutral
Ses01F_impro02,F018,176.08,179.13,And your mother is close by.,Neutral
Ses01F_impro02,F019,182.83,185.8894,I'll send you lots of letters.,Sadness
Ses01F_impro02,F020,186.58,191.11,And I want lots and lots and lots of pictures.,Sadness
Ses01F_impro02,M016,195.1047,199.52,It's just not fair,Frustration
Ses01F_impro03,M000,3.24,5.46,So what's up?  What's new?,Neutral
Ses01F_impro03,F000,4.88,7.74,Well Vegas was awesome.,Happiness
Ses01F_impro03,M001,6.6,8.66,Yeah.  I heard,Neutral
Ses01F_impro03,F001,7.93,11.37,"And, um, I got married",Happiness
Ses01F_impro03,M002,10.53,13.84,Shut up.  No- in Vegas?,Surprise
Ses01F_impro03,F002,12.8,15.37,Yeah.  In the old town part.,Happiness
Ses01F_impro03,M003,14.93,18.9075,Who did you marry?,Excited
Ses01F_impro03,F003,15.87,20.4867,Chuck. [LAUGHTER],Happiness
Ses01F_impro03,M004,20.2532,22.83,Did you propose to you?,"Excited,Surprise,Happiness"
Ses01F_impro03,F004,21.75,25.52,Um- Yes.  It was very romantic.,Happiness
Ses01F_impro03,F005,25.5584,28.14,It was at the slot machines.,Happiness
Ses01F_impro03,M005,27.28,29.65,Oh.  The Wheel of Fortune slots?,"Excited,Surprise,Happiness"
Ses01F_impro03,F006,28.37,34.71,"Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride.",Happiness
Ses01F_impro03,M006,34.25,36.34,He turned to you and was like...,Neutral
Ses01F_impro03,F007,40.1,35.6349,Hey.  Let's get married and I said okay.,Excited; Happiness
Ses01F_impro03,M007,37.7175,40.47,[LAUGHTER] That's really romantic.,Neutral
Ses01F_impro03,F008,40.12,42.79,"Yeah.  Well.  You know, because he's leaving the next day.",Happiness
Ses01F_impro03,M008,42.09,43.41,Yeah,Neutral
Ses01F_impro03,F009,42.84,44.54,But we're going to have a honeymoon cruise.,Happiness
Ses01F_impro03,M009,44.16,49.07,"Does that mean that you're going to get citizenship, too, in- in England or whatever?",Neutral
Ses01F_impro03,F010,47.87,51.075,Oh.  I hadn't even thought about that.,Happiness
Ses01F_impro03,M010,49.61,52.43,Yeah.  Think about that.,"Excited,Surprise,Happiness"
Ses01F_impro03,F011,51.36,53.4925,"He's not going to be a citizen, though","Neutral, Happiness"
Ses01F_impro03,M011,52.92,56.85,Yeah.  But he'll have like a long visa.  Can you go visit then for a long time?,Neutral
Ses01F_impro03,F012,55.865,58.15,Oh.  Totally.,Happiness
Ses01F_impro03,M012,57.46,61.375,"Oh, how are you going to do the long distance thing?  So wait, are you going to move there?","Excited,Surprise,Happiness"
Ses01F_impro03,F013,60.73,65.86,I guess I'll-  I guess I'll have an internet husband.[LAUGHTER],Happiness
Ses01F_impro03,M013,65.6425,68.44,Like you need another one of those.[LAUGHTER],Happiness
Ses01F_impro03,F014,68.01,73.75,I have an internet boyfriend.  I guess I'll have to juggle the two.  Is that cheating?  I don't know. Hmm.,Excited; Happiness
Ses01F_impro03,M014,73.41,76.9975,Is that your phone?,Happiness
Ses01F_impro03,F015,74.2675,78.8425,"Yeah, so [LAUGHTER] He's calling me now",Excited; Happiness
Ses01F_impro03,M015,78.32,80.5,He loves you,Happiness
Ses01F_impro03,F016,79.035,81.0875,"He likes to keep tabs, you know",Happiness
Ses01F_impro03,M016,80.7175,82.5225,How much did he win at the slot,Neutral
Ses01F_impro03,F017,82.0975,85.08,"Uh, I think seven hundred and fifty dollars",Neutral
Ses01F_impro03,M017,84.6925,87.36,Really? Penny slots?,Surprise
Ses01F_impro03,F018,85.1,88.0225,Penny slots. That's what he plays,Neutral
Ses01F_impro03,M018,87.6425,89.08,Wow,Surprise
Ses01F_impro03,F019,88.08,89.5,Yeah,Neutral
Ses01F_impro03,M019,89.12,93.91,I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know.,Neutral
Ses01F_impro03,F020,91.235,92.615,Oh.,"Neutral, Happiness,Surprise"
Ses01F_impro03,F021,92.75,98.21,Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like,Happiness
Ses01F_impro03,M020,97.03,101.65,"But the pennies always get you because you end up spending like, you know, fifty bucks",Neutral
Ses01F_impro03,F022,99.7775,102.03,Fifty bucks. Mmhmm,Neutral
Ses01F_impro03,M021,101.67,104.35,"like, wait, but it's just pennies.  You're like, wait a minute I'm on to you.",Neutral
Ses01F_impro03,F023,102.62,103.4625,Yeah,Neutral
Ses01F_impro03,F024,103.78,108.1825,Well so now we're married. We have cat children.,Happiness
Ses01F_impro03,M022,105.29,106.95,Awesome,Excited
Ses01F_impro03,M023,107.71,111.4,[LAUGHTER] Cat babies,Happiness
Ses01F_impro03,F025,110.23,114.16,"We renamed Brenda, Lumber Janet",Happiness
Ses01F_impro03,M024,117.36,119.58,That's fair enough.,Neutral
Ses01F_impro03,F026,114.19,120.2,She needs a new name each state that we go into.,Happiness
